pending_id,status,post_id,title,url,change_type,summary
1732,pending,2482,"Expert Stroke Care in White Rock, Texas | ER of White Rock",https://erofwhiterock.com/services/expert-stroke-care/,elementor_section_content_replace,"Section content replace: section (whole page), 18 widget(s)"
1733,pending,4739,"Atención Experta para Derrame Cerebral en White Rock, Texas | ER of White Rock",https://erofwhiterock.com/es/atencion-experta-para-derrame-cerebral-en-white-rock-texas-er-of-white-rock/,elementor_section_content_replace,"Section content replace: section (whole page), 19 widget(s)"
1734,pending,4667,Elementor Single Post #4667,https://erofwhiterock.com/?elementor_library=elementor-single-post-4667,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1735,pending,5391,Editorial and Medical Review Policy,https://erofwhiterock.com/editorial-policy/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1736,pending,1091,"Appendicitis Treatment in Dallas, TX | Emergency Care at ER of White Rock",https://erofwhiterock.com/services/appendicitis-treatment-in-white-rock/,elementor_section_content_replace,"Section content replace: section (whole page), 7 widget(s)"
1737,pending,4717,"Tratamiento de Apendicitis en Dallas, TX | Atención de Emergencia en ER of White Rock",https://erofwhiterock.com/es/tratamiento-de-apendicitis-en-dallas-tx-atencion-de-emergencia-en-er-of-white/,elementor_section_content_replace,"Section content replace: section (whole page), 6 widget(s)"
1738,pending,852,"Diagnostic Imaging Services in Dallas, TX | MRI, CT Scan, Ultrasound",https://erofwhiterock.com/services/diagnostic-imaging-services/,elementor_section_content_replace,"Section content replace: section (whole page), 7 widget(s)"
1739,pending,4745,"Servicios de Imágenes Diagnósticas en Dallas, TX | MRI, CT Scan, Ultrasonido",https://erofwhiterock.com/es/servicios-de-imagenes-diagnosticas-en-dallas-tx-mri-ct-scan-ultrasonido/,elementor_section_content_replace,"Section content replace: section (whole page), 7 widget(s)"
1740,pending,971,"Emergency & Rapid Laboratory Testing in White Rock, TX",https://erofwhiterock.com/services/laboratory-testing-services-in-white-rock/,elementor_section_content_replace,"Section content replace: section (whole page), 10 widget(s)"
1741,pending,4747,"Pruebas de Laboratorio de Emergencia y Rápidas en White Rock, TX",https://erofwhiterock.com/es/pruebas-de-laboratorio-de-emergencia-y-rapidas-en-white-rock-tx/,elementor_section_content_replace,"Section content replace: section (whole page), 14 widget(s)"
1742,pending,868,"Sore Throat Treatment in Dallas, TX - ER of White Rock",https://erofwhiterock.com/services/sore-throat-treatment-in-white-rock/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1743,pending,4705,"Tratamiento del Dolor de Garganta en Dallas, TX - ER of White Rock",https://erofwhiterock.com/es/tratamiento-del-dolor-de-garganta-en-dallas-tx-er-of-white-rock/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1744,pending,5496,"Sala de Emergencias Cerca de Richardson, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-richardson/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1745,pending,5495,"Emergency Room Near Richardson, TX",https://erofwhiterock.com/emergency-room-richardson-tx/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1746,pending,5470,"Sala de Emergencias Cerca de Forest Hills, Dallas, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-forest-hills/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1747,pending,5471,"Sala de Emergencias Cerca de Mesquite, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-mesquite/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1748,pending,5469,"Sala de Emergencias Cerca de Casa View, Dallas, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-view/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1749,pending,5468,"Sala de Emergencias Cerca de Casa Linda, Dallas, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-linda/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1750,pending,5466,"Emergency Room Near Mesquite, TX",https://erofwhiterock.com/emergency-room-mesquite-tx/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1751,pending,5463,"Emergency Room Near Forest Hills, Dallas, TX",https://erofwhiterock.com/emergency-room-forest-hills-tx/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1752,pending,5462,"Emergency Room Near Casa View, Dallas, TX",https://erofwhiterock.com/emergency-room-casa-view-tx/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1753,pending,5460,"Emergency Room Near Casa Linda, Dallas, TX",https://erofwhiterock.com/emergency-room-casa-linda-tx/,elementor_section_content_replace,"Section content replace: section (whole page), 1 widget(s)"
1754,pending,228,Home Page – ER of White Rock,https://erofwhiterock.com/,elementor_section_content_replace,"Section content replace: section (whole page), 5 widget(s)"
1755,pending,4687,Página Principal – ER of White Rock,https://erofwhiterock.com/es/home-page-er-of-white-rock/,elementor_section_content_replace,"Section content replace: section (whole page), 5 widget(s)"
1756,pending,852,"Diagnostic Imaging Services in Dallas, TX | MRI, CT Scan, Ultrasound",https://erofwhiterock.com/services/diagnostic-imaging-services/,meta_update,WR-03: describe imaging in emergency care; remove unsupported MRI/mammography and specialist guarantees.
1757,pending,852,"Diagnostic Imaging Services in Dallas, TX | MRI, CT Scan, Ultrasound",https://erofwhiterock.com/services/diagnostic-imaging-services/,postmeta_update,WR-03: describe imaging in emergency care; remove unsupported MRI/mammography and specialist guarantees.
1758,pending,852,"Diagnostic Imaging Services in Dallas, TX | MRI, CT Scan, Ultrasound",https://erofwhiterock.com/services/diagnostic-imaging-services/,postmeta_update,WR-03: describe imaging in emergency care; remove unsupported MRI/mammography and specialist guarantees.
1759,pending,4745,"Servicios de Imágenes Diagnósticas en Dallas, TX | MRI, CT Scan, Ultrasonido",https://erofwhiterock.com/es/servicios-de-imagenes-diagnosticas-en-dallas-tx-mri-ct-scan-ultrasonido/,meta_update,WR-03: describe imaging in emergency care; remove unsupported MRI/mammography and specialist guarantees.
1760,pending,4745,"Servicios de Imágenes Diagnósticas en Dallas, TX | MRI, CT Scan, Ultrasonido",https://erofwhiterock.com/es/servicios-de-imagenes-diagnosticas-en-dallas-tx-mri-ct-scan-ultrasonido/,postmeta_update,WR-03: describe imaging in emergency care; remove unsupported MRI/mammography and specialist guarantees.
1761,pending,4745,"Servicios de Imágenes Diagnósticas en Dallas, TX | MRI, CT Scan, Ultrasonido",https://erofwhiterock.com/es/servicios-de-imagenes-diagnosticas-en-dallas-tx-mri-ct-scan-ultrasonido/,postmeta_update,WR-03: describe imaging in emergency care; remove unsupported MRI/mammography and specialist guarantees.
1762,pending,228,Home Page – ER of White Rock,https://erofwhiterock.com/,postmeta_update,WR-05: qualify operational claims and align insurance wording with published facility disclosures.
1763,pending,4687,Página Principal – ER of White Rock,https://erofwhiterock.com/es/home-page-er-of-white-rock/,postmeta_update,WR-05: qualify operational claims and align insurance wording with published facility disclosures.
1764,pending,4751,"Servicios de Emergencia en Dallas, TX | Atención ER 24/7 | ER of White Rock",https://erofwhiterock.com/es/servicios-de-emergencia-er-of-white-rock/,elementor_section_content_replace,"Section content replace: section (whole page), 2 widget(s)"
1765,pending,1338,"Eye Injuries Emergency Care in Dallas, TX | ER of White Rock",https://erofwhiterock.com/services/eye-injuries/,elementor_section_content_replace,"Section content replace: section (whole page), 2 widget(s)"
1766,pending,5063,"Dolor de Estómago y Emergencias Digestivas cerca de White Rock: Apendicitis, Intoxicación Alimentaria y Dolor Abdominal Severo",https://erofwhiterock.com/es/dolor-de-estomago-emergencias-digestivas-cerca-de-white-rock-lake/,post_content_update,WR-06: repair broken and outdated internal destinations
1767,pending,5058,"Emergencias de Huesos, Articulaciones y Trauma cerca de White Rock: Fracturas, Lesiones de Cabeza y Cuidado de Lesiones Oculares",https://erofwhiterock.com/es/emergencias-huesos-articulaciones-trauma-cerca-de-white-rock-lake/,post_content_update,WR-06: repair broken and outdated internal destinations
1768,pending,5067,Guía Completa para Padres sobre Emergencias Pediátricas cerca de White Rock: Cuándo Llevar a Su Hijo a la Sala de Emergencias,https://erofwhiterock.com/es/guia-padres-emergencias-pediatricas-cerca-de-white-rock/,post_content_update,WR-06: repair broken and outdated internal destinations
1769,pending,4986,Freestanding ER vs Hospital ER Near White Rock Lake: How to Choose the Right Emergency Room,https://erofwhiterock.com/freestanding-er-vs-hospital-er-near-white-rock-lake/,post_content_update,WR-06: repair broken and outdated internal destinations
1770,pending,4759,Términos y Condiciones de Uso,https://erofwhiterock.com/es/terminos-y-condiciones-de-uso/,post_content_update,WR-10: restore garbled characters and repair policy/contact links
1771,pending,4758,Política de Privacidad,https://erofwhiterock.com/es/politica-de-privacidad/,post_content_update,WR-10: restore garbled characters and repair policy/contact links
