id,type,lang,title,url,verdict,coverage_state,last_crawl_time,page_fetch_state,user_canonical,google_canonical,source
5525,post,en,What to Tell the ER Team: A Medication and Symptom Note,https://erofwhiterock.com/what-to-tell-er-team/,NEUTRAL,URL is unknown to Google,,PAGE_FETCH_STATE_UNSPECIFIED,,,broad.json
5510,page,en,Cookie Policy,https://erofwhiterock.com/cookie-policy/,PASS,Submitted and indexed,2026-09-06T03:52:19Z,SUCCESSFUL,https://erofwhiterock.com/cookie-policy/,https://erofwhiterock.com/cookie-policy/,indexing-all.json
5511,page,es,Política de Cookies,https://erofwhiterock.com/es/politica-de-cookies/,PASS,Submitted and indexed,2026-08-28T15:56:47Z,SUCCESSFUL,https://erofwhiterock.com/es/politica-de-cookies/,https://erofwhiterock.com/es/politica-de-cookies/,indexing-all.json
5496,page,en,"Sala de Emergencias Cerca de Richardson, TX",https://erofwhiterock.com/sala-de-emergencias-cerca-de-richardson/,PASS,Submitted and indexed,2026-08-22T09:05:47Z,SUCCESSFUL,https://erofwhiterock.com/sala-de-emergencias-cerca-de-richardson/,https://erofwhiterock.com/sala-de-emergencias-cerca-de-richardson/,verification.json
5495,page,en,"Emergency Room Near Richardson, TX",https://erofwhiterock.com/emergency-room-richardson-tx/,PASS,Submitted and indexed,2026-09-06T03:52:19Z,SUCCESSFUL,https://erofwhiterock.com/emergency-room-richardson-tx/,https://erofwhiterock.com/emergency-room-richardson-tx/,verification.json
5470,page,es,"Sala de Emergencias Cerca de Forest Hills, Dallas, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-forest-hills/,PASS,Submitted and indexed,2026-08-18T15:15:15Z,SUCCESSFUL,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-forest-hills/,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-forest-hills/,indexing-all.json
5471,page,es,"Sala de Emergencias Cerca de Mesquite, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-mesquite/,PASS,Submitted and indexed,2026-08-18T06:43:15Z,SUCCESSFUL,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-mesquite/,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-mesquite/,indexing-all.json
5469,page,es,"Sala de Emergencias Cerca de Casa View, Dallas, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-view/,PASS,Submitted and indexed,2026-08-18T15:15:13Z,SUCCESSFUL,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-view/,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-view/,indexing-all.json
5468,page,es,"Sala de Emergencias Cerca de Casa Linda, Dallas, TX",https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-linda/,PASS,Submitted and indexed,2026-08-18T23:56:24Z,SUCCESSFUL,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-linda/,https://erofwhiterock.com/es/sala-de-emergencias-cerca-de-casa-linda/,indexing-all.json
5466,page,en,"Emergency Room Near Mesquite, TX",https://erofwhiterock.com/emergency-room-mesquite-tx/,PASS,Submitted and indexed,2026-09-06T03:52:18Z,SUCCESSFUL,https://erofwhiterock.com/emergency-room-mesquite-tx/,https://erofwhiterock.com/emergency-room-mesquite-tx/,indexing-all.json
